Math,Linguistic
75,25
45,45
40,10
40,65
10,25
10,45
20,25
40,65
75,10
0,25
20,65
40,65
60,20
20,10
20,45
20,20
0,0
10,10
10,20
45,45
70,25
40,25
10,25
40,10
40,65
40,25
45,25
40,10
40,25
40,10
60,65
40,10
40,10
70,25
60,25
40,65
0,25
20,45
0,0
0,25
40,10
60,20
40,25
40,45
0,10
10,25
40,45
45,20
20,65
65,10
10,20
60,65
75,45
40,45
40,45
0,25
0,25
40,25
40,45
40,65
40,25
10,25
20,10
10,15
40,45
40,25
30,45
45,35
40,10
60,20
80,65
0,45
40,65
40,35
40,10
0,65
60,10
0,10
60,45
10,10
40,25
60,45
40,45
10,65
10,10
20,45
30,10
20,65
10,45
60,25
20,10
40,45
70,25
60,65
20,65
40,45
20,25
40,10
40,20
40,45
30,25
40,20
40,10
10,20
40,65
40,25
60,10
30,45
20,20
10,25
60,65
60,25
40,25
45,65
40,45
20,10
40,65
50,10
10,45
0,45
20,20
40,25
40,65
20,65
40,35
40,65
20,0
40,25
10,45
40,10
75,25
40,45
20,45
30,65
30,10
10,10
20,65
45,10
65,65
0,25
70,20
60,35
40,25
70,25
40,65
70,45
45,10
40,25
40,25
45,10
40,10
60,10
40,45
0,10
40,0
20,25
40,25
20,45
40,20
0,45
65,10
20,45
60,25
40,45
40,25
40,10
65,0
20,10
65,25
10,65
30,10
0,10
45,10
40,10
40,10
30,45
40,25
20,25
20,45
40,25
70,10
70,45
20,25
20,10
60,25
10,45
40,45
40,10
30,25
60,35
40,45
52,25
50,65
40,20
20,45
30,45
60,25
55,25
10,10
40,10
45,35
70,35
10,10
20,65
40,10
60,45
70,25
40,10
20,10
20,10
40,45
40,45
60,65
40,10
20,25
30,20
40,45
60,10
0,35
40,25
40,25
10,45
40,45
60,65
30,25
40,65
60,25
40,10
55,20
30,10
10,65
60,10
40,45
40,10
0,20
40,25
40,10
40,20
40,65
0,10
10,0
60,45
10,45
60,25
40,65
40,65
70,10
20,10
40,25
40,25
10,35
60,10
20,45
20,0
30,45
40,20
40,75
40,20
55,25
70,25
80,10
40,20
40,25
10,45
0,45
40,10
65,65
40,45
70,0
40,25
40,20
40,20
0,25
0,10
65,45
60,10
40,25
10,45
70,65
40,25
40,45
40,25
40,0
40,45
40,25
45,25
0,10
10,45
40,25
45,20
70,65
40,25
40,25
45,45
0,45
40,10
40,25
40,65
70,45
40,25
10,25
40,45
40,25
10,10
20,25
60,65
10,10
40,25
30,20
40,20
20,25
40,20
10,10
40,65
70,20
40,45
10,10
20,25
40,10
40,45
70,25
30,35
20,10
40,25
40,65
0,45
40,45
40,25
40,25
60,20
30,0
60,25
20,25
10,65
10,65
30,45
65,10
10,20
40,35
60,65
40,20
20,10
20,45
40,25
10,10
55,25
10,65
0,45
75,20
20,10
40,20
70,10
40,45
10,25
10,25
10,25
50,0
40,15
40,65
40,10
45,25
10,65
60,25
40,25
60,10
40,25
20,25
70,25
20,10
60,65
70,10
40,45
40,65
40,20
40,45
20,25
10,45
0,10
20,45
0,25
40,25
60,10
40,25
40,10
55,25
0,25
70,10
40,25
10,45
20,10
40,10
30,25
40,65
40,45
40,45
45,25
10,45
60,25
10,20
10,10
70,65
40,10
40,25
0,10
70,20
0,45
55,65
30,65
60,45
40,10
80,45
40,45
0,25
20,10
20,45
70,25
40,45
75,45
10,25
20,45
20,0
60,10
40,45
40,25
10,10
70,10
40,25
45,10
20,45
70,45
60,65
20,65
40,25
40,25
40,25
40,65
70,10
10,45
0,10
20,10
40,10
40,20
20,25
65,65
40,35
30,45
20,65
10,25
70,25
10,45
40,25
40,10
30,45
0,25
70,25
50,25
20,25
70,25
65,35
40,65
60,45
10,25
20,25
10,45
40,25
40,25
40,45
40,65
52,25
10,10
40,25
0,45
60,20
40,25
40,25
40,25
40,25
30,45
10,25
0,10
65,25
20,25
60,45
40,10
40,45
70,10
40,65
40,10
20,45
40,45
40,25
10,10
45,65
40,45
30,45
50,25
40,25
65,25
40,65
60,10
70,65
10,65
70,10
0,10
0,10
40,10
40,45
45,25
20,35
60,65
40,10
30,65
10,25
40,65
10,10
40,45
45,10
10,20
20,10
40,10
40,65
40,45
20,65
40,45
40,0
30,10
40,45
10,45
40,45
60,45
60,20
40,10
0,35
40,65
10,65
30,20
0,25
10,25
40,65
40,10
40,10
20,45
60,45
20,25
10,25
40,45
40,25
40,45
70,10
20,10
30,25
10,45
40,45
10,45
40,45
40,10
10,25
40,45
40,25
65,25
30,25
65,45
10,25
60,25
20,45
10,45
60,45
40,45
65,25
20,35
65,45
40,10
40,25
40,25
60,0
40,25
10,20
10,10
40,10
70,20
10,10
40,10
60,10
10,65
40,10
75,20
60,45
45,65
40,10
40,20
70,35
30,45
20,65
40,10
30,25
20,10
40,25
0,10
40,25
40,10
40,10
75,45
40,45
20,10
60,65
40,45
10,25
0,25
40,10
0,10
40,25
70,45
60,10
10,45
10,25
40,45
0,10
10,0
40,45
65,10
20,10
10,20
70,10
60,45
20,10
20,65
10,45
40,65
40,45
85,25
40,10
0,45
40,65
60,0
45,25
10,45
55,25
40,45
20,25
70,10
40,10
30,45
10,10
55,20
40,10
10,10
20,20
40,45
0,35
40,25
20,10
10,25
60,25
30,45
40,25
40,25
0,45
0,10
45,10
40,25
70,65
20,25
30,10
40,20
10,65
30,65
60,25
40,20
60,65
40,65
40,25
40,10
30,25
40,10
70,10
40,10
65,20
45,25
40,45
10,45
70,35
20,65
40,45
40,10
40,25
60,10
40,65
70,25
55,20
70,25
60,10
40,45
70,10
40,25
10,0
60,65
40,65
40,25
40,10
40,45
10,45
40,25
65,25
10,45
0,35
0,25
10,10
20,65
40,25
40,35
20,65
20,25
70,65
40,10
10,20
40,25
20,45
40,10
70,20
20,25
45,25
10,45
70,45
10,10
45,65
40,45
40,25
40,20
0,10
0,10
40,25
30,25
70,25
40,10
60,65
40,0
10,25
10,10
10,65
10,25
25,65
10,10
40,25
60,10
10,10
40,65
20,65
45,25
40,25
40,10
10,25
70,25
40,25
0,45
40,10
40,25
40,10
0,25
20,10
20,45
20,65
80,45
40,10
55,35
20,10
40,10
60,20
0,45
0,10
10,45
45,0
20,45
70,25
20,25
20,65
10,10
10,10
45,45
0,65
60,10
20,25
40,25
10,45
10,65
40,45
40,35
30,45
10,45
70,0
45,25
75,25
20,10
40,10
20,65
60,25
40,25
40,25
40,10
40,25
20,65
70,10
60,10
20,45
40,65
60,25
0,45
20,65
60,20
40,45
0,25
60,65
30,45
65,10
20,20
0,25
40,25
40,10
65,20
40,35
40,45
20,25
20,45
0,45
0,45
20,25
10,65
20,45
20,45
40,45
0,45
0,25
40,10
0,45
40,10
40,45
40,45
70,10
30,65
30,25
40,10
60,25
60,20
40,10
10,25
40,10
0,25
0,10
40,10
70,65
10,25
40,0
0,25
60,25
10,45
20,10
40,10
40,10
60,0
65,25
10,25
20,20
10,25
40,10
50,10
30,25
20,25
60,45
0,65
40,65
0,45
40,25
40,0
20,45
40,25
70,45
40,10
20,0
40,0
20,65
65,45
45,10
20,10
10,45
40,10
20,65
0,25
40,65
55,20
40,45
10,35
10,65
40,65
40,45
40,35
60,25
40,20
40,10
45,10
40,10
30,25
40,45
20,20
40,25
10,45
70,10
10,45
20,20
60,10
40,45
40,25
40,45
30,25
20,45
40,10
10,25
40,65
40,65
60,25
40,25
40,20
20,45
70,25
40,45
0,65
40,45
0,25
60,25
20,25
40,10
65,65
60,65
60,65
40,10
40,65
55,25
10,45
40,25
65,65
40,65
60,25
20,45
40,20
60,45
65,25
40,35
60,10
20,20
40,45
70,10
80,10
40,25
40,65
20,25
40,65
60,10
70,25
40,45
40,20
40,45
40,45
40,45
0,65
10,25
20,10
40,10
10,20
10,45
20,10
60,25
40,10
60,45
30,45
40,65
10,25
10,25
0,10
65,10
0,45
20,10
10,65
40,25
20,45
40,45
30,25
20,10
70,25
40,45
40,10
20,25
60,65
40,25
10,65
40,45
60,10
45,10
40,25
60,25
40,10
60,10
40,45
